14,2,3,3538
14,2,11,3657
14,2,9,3306
14,2,3,4576
14,2,11,4061
14,2,13,3733
14,2,11,3666
14,2,9,4174
14,2,9,4371
14,2,11,4205
14,5,77,2165
14,5,79,2780
14,5,79,1669
14,5,75,2921
14,5,77,2564
14,5,55,2450
14,5,55,1975
14,5,85,2129
14,5,79,1838
14,5,53,2577
14,10,519,1019
14,10,265,2330
14,10,373,1060
14,10,395,1523
14,10,255,1426
14,10,385,2029
14,10,255,1415
14,10,253,1686
14,10,391,785
14,10,271,1176
14,15,937,1251
14,15,931,1121
14,15,933,1167
14,15,911,1323
14,15,619,956
14,15,929,1110
14,15,939,1292
14,15,949,722
14,15,957,869
14,15,653,792
14,20,1127,713
14,20,1179,1125
14,20,1683,1362
14,20,1707,1268
14,20,1711,916
14,20,1717,871
14,20,1685,1013
14,20,1699,1358
14,20,1699,657
14,20,1705,964
14,25,1805,1644
14,25,2683,2091
14,25,1801,895
14,25,1783,2035
14,25,2661,1113
14,25,2693,1389
14,25,3637,1014
14,25,2665,759
14,25,2699,741
14,25,3595,716
